sep=,,,
Time , x , y , z
2017-03-26 10:36:23.192 ,-5.3629999161,1.0720000267,8.8870000839
2017-03-26 10:36:23.387 ,1.8380000591,1.8380000591,13.3310003281
2017-03-26 10:36:23.587 ,-0.6119999886,2.4509999752,9.1940002441
2017-03-26 10:36:23.791 ,2.6040000916,6.2820000648,8.1210002899
2017-03-26 10:36:23.988 ,1.9919999838,6.8949999809,4.5970001221
2017-03-26 10:36:24.192 ,-0.9190000296,5.6690001488,5.9759998322
2017-03-26 10:36:24.387 ,-2.4509999752,5.515999794,4.2899999619
2017-03-26 10:36:24.587 ,-1.0720000267,7.3550000191,7.2020001411
2017-03-26 10:36:24.787 ,2.2980000973,10.4189996719,8.4270000458
2017-03-26 10:36:25.013 ,3.8299999237,7.3550000191,5.515999794
2017-03-26 10:36:25.192 ,1.0720000267,5.9759998322,5.515999794
2017-03-26 10:36:25.388 ,1.3789999485,7.9679999352,3.3710000515
2017-03-26 10:36:25.591 ,-0.9190000296,7.6609997749,4.4429998398
2017-03-26 10:36:25.788 ,-0.9190000296,7.9679999352,5.2090001106
2017-03-26 10:36:25.986 ,-0.9190000296,8.1210002899,6.1290001869
2017-03-26 10:36:26.192 ,-0.7659999728,7.3550000191,5.6690001488
2017-03-26 10:36:26.418 ,-0.6119999886,7.507999897,7.8140001297
2017-03-26 10:36:26.602 ,1.6849999428,8.4270000458,5.9759998322
2017-03-26 10:36:26.808 ,0.6119999886,7.2020001411,7.0479998589
2017-03-26 10:36:27.001 ,-0.7659999728,7.9679999352,5.515999794
2017-03-26 10:36:27.202 ,0.4589999914,7.3550000191,5.9759998322
2017-03-26 10:36:27.402 ,-0.7659999728,7.0479998589,5.2090001106
2017-03-26 10:36:27.599 ,0.9190000296,7.3550000191,2.757999897
2017-03-26 10:36:27.809 ,4.1370000839,1.6849999428,5.9759998322
2017-03-26 10:36:28.001 ,3.5239999294,12.718000412,-2.2980000973
2017-03-26 10:36:28.213 ,11.1859998703,0,2.4509999752
2017-03-26 10:36:28.411 ,0.1529999971,0,-2.1449999809
2017-03-26 10:36:28.599 ,3.5239999294,4.1370000839,7.6609997749
2017-03-26 10:36:28.812 ,3.2170000076,4.2899999619,7.8140001297
2017-03-26 10:36:28.999 ,6.4349999428,1.6849999428,7.6609997749
2017-03-26 10:36:29.210 ,1.3789999485,3.0639998913,6.5890002251
2017-03-26 10:36:29.386 ,3.3710000515,3.0639998913,7.2020001411
2017-03-26 10:36:29.625 ,-7.9679999352,-0.7659999728,13.9440002441
2017-03-26 10:36:29.787 ,3.2170000076,1.0720000267,15.1700000763
2017-03-26 10:36:30.013 ,-1.3789999485,3.2170000076,11.7989997864
2017-03-26 10:36:30.216 ,-4.1370000839,3.0639998913,12.1049995422
2017-03-26 10:36:30.399 ,-3.0639998913,3.9839999676,5.2090001106
2017-03-26 10:36:30.596 ,-1.9919999838,6.4349999428,6.8949999809
2017-03-26 10:36:30.787 ,-2.1449999809,7.0479998589,6.8949999809
2017-03-26 10:36:30.988 ,-2.1449999809,6.8949999809,6.742000103
Max,14.0970001221,,
Min,-11.3389997482,,
Average,0.2962762265,,
